Price,District,Ward,Area
" 3,6 triệu / tháng", Quận Hà Đông, Phường Văn Quán, 30 m2
" 2,9 triệu / tháng", Quận Hà Đông, Phường Mộ Lao, 25 m2
 7 triệu / tháng, Quận Hoàn Kiếm, Phường Hàng Bài, 33 m2
 5 triệu / tháng, Quận Hai Bà Trưng, Phường Minh Khai, 30 m2
 8 triệu / tháng, Quận Đống Đa, Phường Kim Liên, 50 m2
" 1,4 triệu / tháng", Quận Hai Bà Trưng, Phường Bách Khoa, 15 m2
" 1,6 triệu / tháng", Quận Thanh Xuân, Phường Khương Mai, 15 m2
" 1,3 triệu / tháng", Quận Đống Đa, Phường Ô Chợ Dừa, 15 m2
" 1,3 triệu / tháng", Quận Đống Đa, Phường Thổ Quan, 15 m2
" 1,4 triệu / tháng", Quận Đống Đa, Phường Láng Thượng, 16 m2
" 1,4 triệu / tháng", Quận Đống Đa, Phường Ngã Tư Sở, 23 m2
" 1,3 triệu / tháng", Quận Đống Đa, Phường Ô Chợ Dừa, 21 m2
" 1,3 triệu / tháng", Quận Đống Đa, Phường Ngã Tư Sở, 14 m2
" 1,5 triệu / tháng", Quận Đống Đa, Phường Láng Thượng, 15 m2
" 1,4 triệu / tháng", Quận Hai Bà Trưng, Phường Bách Khoa, 15 m2
" 1,2 triệu / tháng", Quận Thanh Xuân, Phường Khương Trung, 15 m2
" 3,5 triệu / tháng", Quận Đống Đa, Phường Ngã Tư Sở, 35 m2
 8 triệu / tháng, Quận Đống Đa, Phường Kim Liên, 50 m2
 7 triệu / tháng, Quận Hoàn Kiếm, Phường Hàng Bài, 33 m2
 5 triệu / tháng, Quận Hai Bà Trưng, Phường Minh Khai, 30 m2
 7 triệu / tháng, Quận Nam Từ Liêm, Phường Mễ Trì, 50 m2
" 5,5 triệu / tháng", Quận Nam Từ Liêm, Phường Cầu Diễn, 40 m2
" 1,5 triệu / tháng", Quận Nam Từ Liêm, Phường Trung Văn, 15 m2
" 1,5 triệu / tháng", Quận Hoàng Mai, Phường Định Công, 15 m2
" 1,6 triệu / tháng", Quận Đống Đa, Phường Phương Mai, 14 m2
" 1,7 triệu / tháng", Quận Hà Đông, Phường Văn Quán, 15 m2
" 1,5 triệu / tháng", Quận Hai Bà Trưng, Phường Minh Khai, 15 m2
" 1,5 triệu / tháng", Quận Thanh Xuân, Phường Khương Trung, 15 m2
" 1,5 triệu / tháng", Quận Thanh Xuân, Phường Nhân Chính, 15 m2
" 1,4 triệu / tháng", Quận Hoàng Mai, Phường Lĩnh Nam, 15 m2
 2 triệu / tháng, Quận Hai Bà Trưng, Phường Bạch Mai, 17 m2
" 1,6 triệu / tháng", Quận Hai Bà Trưng, Phường Đồng Tâm, 14 m2
" 1,8 triệu / tháng", Quận Đống Đa, ngõ 115 Chùa Láng Phường Láng Thượng, 15 m2
" 1,5 triệu / tháng", Quận Cầu Giấy, ngõ 63 Xuân Thuỷ Phường Dịch Vọng Hậu, 13 m2
" 1,5 triệu / tháng", Quận Nam Từ Liêm, Phường Mỹ Đình 1, 15 m2
" 1,6 triệu / tháng", Quận Cầu Giấy, Phường Quan Hoa, 15 m2
" 1,5 triệu / tháng", Quận Đống Đa, Phường Phương Liên, 15 m2
 800 ngàn / tháng, Quận Hoàng Mai, Phường Lĩnh Nam, 15 m2
" 2,5 triệu / tháng", Quận Cầu Giấy, Phường Trung Hòa, 18 m2
