Price,District,Ward,Time,Area
3 triệu/tháng, Quận Thanh Xuân, Phường Nhân Chính,5/4/2020, 30m2
2.3 triệu/tháng, Huyện Thanh Trì, Xã Tân Triều,2/4/2020, 15m2
4.5 triệu/tháng, Quận Cầu Giấy, Phường Mai Dịch,1/4/2020, 35m2
3.15 triệu/tháng, Quận Ba Đình, Phường Nguyễn Trung Trực,31/03/2020, 20m2
2.6 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,31/03/2020, 20m2
2 triệu/tháng, Quận Đống Đa, Phường Trung Liệt,29/03/2020, 15m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,29/03/2020, 10m2
2.5 triệu/tháng, Quận Bắc Từ Liêm, Phường Phúc Diễn,28/03/2020, 30m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Thanh Trì,28/03/2020, 30m2
1.2 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,28/03/2020, 20m2
2.4 triệu/tháng, Quận Bắc Từ Liêm, Phường Cổ Nhuế 2,27/03/2020, 25m2
1.4 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Mỹ Đình 1,27/03/2020, 20m2
1 triệu/tháng, Quận Long Biên, Phường Ngọc Thụy,26/03/2020, 10m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Yên Hòa,25/03/2020, 15m2
2.2 triệu/tháng, Quận Hoàng Mai, Phường Mai Động,25/03/2020, 18m2
3.5 triệu/tháng, Quận Cầu Giấy,Địa chỉ: Phường Yên Hòa,25/03/2020, 30m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,24/03/2020, 30m2
3 triệu/tháng, Quận Đống Đa, Phường Khương Thượng,24/03/2020, 45m2
1.7 triệu/tháng, Quận Cầu Giấy, Phường Quan Hoa,24/03/2020, 15m2
3.4 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,23/03/2020, 28m2
2 triệu/tháng, Quận Hoàng Mai, Phường Tân Mai,21/03/2020, 20m2
1.7 triệu/tháng, Quận Thanh Xuân, Phường Khương Đình,8/3/2020, 20m2
2 triệu/tháng, Quận Ba Đình, Phường Đội Cấn,8/3/2020, 10m2
2.5 triệu/tháng, Quận Hoàng Mai, Phường Định Công,7/3/2020, 30m2
3.3 triệu/tháng, Quận Nam Từ Liêm,Địa chỉ: Phường Phú Đô,6/3/2020, 25m2
2.3 triệu/tháng, Quận Thanh Xuân, Phường Khương Trung,6/3/2020, 16m2
4.2 triệu/tháng, Quận Hoàng Mai, Phường Hoàng Liệt,5/3/2020, 35m2
4 triệu/tháng, Quận Hà Đông,Địa chỉ: Phường Mỗ Lao,5/3/2020, 35m2
3 triệu/tháng, Quận Đống Đa, Phường Thịnh Quang,5/3/2020, 20m2
2.3 triệu/tháng, Quận Đống Đa, Phường Láng Thượng,5/3/2020, 16m2
5.5 triệu/tháng, Quận Cầu Giấy, Phường Trung Hòa,4/3/2020, 35m2
3 triệu/tháng, Quận Hai Bà Trưng, Phường Vĩnh Tuy,4/3/2020, 19m2
